DIAS DISPONIBLES;ROSSELLO;Dia_cita;DIAS_PARA_SER_ATENDIDO
07/08/2020;NO;1;1
10/08/2020;NO;2;4
14/08/2020;NO;3;8
17/08/2020;NO;4;11
21/08/2020;NO;5;15
24/08/2020;NO;6;18
28/08/2020;NO;7;22
04/09/2020;NO;8;29
07/09/2020;NO;9;32
11/09/2020;NO;10;36
14/09/2020;NO;11;39
18/09/2020;NO;12;43
21/09/2020;NO;13;46
25/09/2020;NO;14;50
28/09/2020;NO;15;53
02/10/2020;NO;16;57
16/10/2020;NO;17;71
19/10/2020;NO;18;74
21/10/2020;SI;19;76
23/10/2020;NO;20;78
26/10/2020;NO;21;81
30/10/2020;NO;22;85
06/11/2020;NO;23;92
09/11/2020;NO;24;95
13/11/2020;NO;25;99
16/11/2020;NO;26;102
20/11/2020;SI;27;106
23/11/2020;NO;28;109
27/11/2020;NO;29;113
30/11/2020;NO;30;116
04/12/2020;NO;31;120
11/12/2020;NO;32;127
14/12/2020;NO;33;130
17/12/2020;NO;34;133
18/12/2020;SI;35;134
28/12/2020;NO;36;144
04/01/2021;SI;37;151
07/01/2021;NO;38;154
08/01/2021;NO;39;155
15/01/2021;NO;40;162
18/01/2021;NO;41;165
22/01/2021;NO;42;169
25/01/2021;NO;43;172
29/01/2021;NO;44;176
05/02/2021;NO;45;183
08/02/2021;NO;46;186
12/02/2021;NO;47;190
15/02/2021;NO;48;193
17/02/2021;NO;49;195
22/02/2021;NO;50;200
26/02/2021;NO;51;204
