DIAS DISPONIBLES;ROSSELLO;Dia_cita;DIAS_PARA_SER_ATENDIDO
06/08/2020;NO;1;0
11/08/2020;NO;2;5
12/08/2020;NO;3;6
13/08/2020;SI;4;7
14/08/2020;NO;5;8
26/08/2020;SI;6;20
31/08/2020;SI;7;25
03/09/2020;SI;8;28
04/09/2020;NO;9;29
08/09/2020;NO;10;33
09/09/2020;SI;11;34
10/09/2020;SI;12;35
11/09/2020;NO;13;36
17/09/2020;NO;14;42
24/09/2020;NO;15;49
01/10/2020;NO;16;56
13/10/2020;NO;17;68
14/10/2020;NO;18;69
15/10/2020;NO;19;70
22/10/2020;NO;20;77
23/10/2020;SI;21;78
27/10/2020;NO;22;82
28/10/2020;NO;23;83
29/10/2020;NO;24;84
03/11/2020;NO;25;89
04/11/2020;SI;26;90
05/11/2020;NO;27;91
06/11/2020;SI;28;92
10/11/2020;NO;29;96
12/11/2020;NO;30;98
13/11/2020;NO;31;99
18/11/2020;NO;32;104
19/11/2020;NO;33;105
20/11/2020;NO;34;106
24/11/2020;SI;35;110
25/11/2020;NO;36;111
26/11/2020;NO;37;112
27/11/2020;NO;38;113
01/12/2020;SI;39;117
03/12/2020;NO;40;119
09/12/2020;NO;41;125
10/12/2020;NO;42;126
18/12/2020;NO;43;134
21/12/2020;SI;44;137
23/12/2020;NO;45;139
29/12/2020;SI;46;145
07/01/2021;SI;47;154
11/01/2021;SI;48;158
14/01/2021;SI;49;161
15/01/2021;SI;50;162
19/01/2021;NO;51;166
21/01/2021;NO;52;168
27/01/2021;NO;53;174
28/01/2021;NO;54;175
01/02/2021;NO;55;179
03/02/2021;NO;56;181
04/02/2021;NO;57;182
10/02/2021;NO;58;188
11/02/2021;NO;59;189
17/02/2021;NO;60;195
18/02/2021;NO;61;196
